corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4517558,45,False,27,40.81651020000572
1,4516903,45,False,165,35.90404599998146
2,4116748,41,False,156,36.017824500013376
3,4416518,44,False,47,35.27496609999798
4,4216603,42,False,171,35.76563300000271
5,4816613,48,False,109,36.18442480001249
6,3015263,30,False,4,36.831661700009136
7,4216983,42,False,112,36.823534299997846
8,4616578,46,False,112,36.17305359998136
9,4816703,48,False,156,35.5354587000038
10,4916053,49,False,89,35.607392600009916
11,4715968,47,False,36,36.01245760000893
12,4415293,44,False,46,35.54722390000825
13,4816948,48,False,86,36.010979300015606
14,4016908,40,False,170,35.41749049999635
15,4817028,48,False,178,35.96608789998572
16,5016683,50,False,134,36.03381970000919
17,3816608,38,False,199,35.384364300000016
18,3016423,30,False,26,35.87828820000868
19,3716798,37,False,26,35.54150870000012
20,4615563,46,False,122,35.23694329999853
21,4216488,42,False,12,35.64085329999216
22,4115948,41,False,78,35.31909839998116
23,4517068,45,False,82,35.92445590000716
24,3515938,35,False,120,35.51277349999873
25,5016613,50,False,97,35.141245000006165
26,5316963,53,False,54,35.560466100025224
27,4815993,48,False,161,36.417041299981065
28,5117008,51,False,132,36.54219559999183
29,3616308,36,False,50,35.92400030000135
