corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4716898,47,False,20,20.545595400006277
1,5317258,53,False,57,19.467883900011657
2,4216368,42,False,61,19.606589800008805
3,3816633,38,False,137,19.595567100011976
4,5217238,52,False,50,19.398676900018472
5,5017028,50,False,62,19.30991459998768
6,3015273,30,False,8,19.41236069999286
7,4416173,44,False,38,19.62450710000121
8,4517503,45,False,58,19.817180100013502
9,5416743,54,False,197,19.83326629997464
10,4816353,48,False,73,19.80951640001149
11,4717493,47,False,151,19.50859149999451
12,4216838,42,False,74,19.935948199999984
13,4416723,44,False,164,19.32667560002301
14,4116423,41,False,174,19.52255699998932
15,5216003,52,False,30,19.49887710000621
16,4916223,49,False,171,19.816617499978747
17,4515758,45,False,25,19.576928600028623
18,4916058,49,False,137,19.707043400005205
19,3816728,38,False,52,20.251834100025008
20,5017213,50,False,37,19.474829899991164
21,4816678,48,False,195,20.616665700013982
22,3816453,38,False,190,19.747231199988164
23,4816598,48,False,104,19.218153099995106
24,3715923,37,False,38,23.254538999986835
25,5116703,51,False,29,21.281890600017505
26,4116328,41,False,22,28.905620999983512
27,4915713,49,False,51,23.733668499975465
28,4417098,44,False,96,19.68702789998497
29,4616818,46,False,88,19.931921000010334
