corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4716898,47,False,20,2.400484299985692
1,5417278,54,False,23,2.3067525000078604
2,5116943,51,False,22,2.3284197000029963
3,5716058,57,False,29,2.1983293000084814
4,5816928,58,False,28,2.4695541000110097
5,5716958,57,False,25,2.2815262000076473
6,3015273,30,False,8,2.3379273999889847
7,5116338,51,False,26,2.357415200007381
8,5716728,57,False,18,2.303753099986352
9,6116768,61,False,19,2.3233287000039127
10,5316153,53,False,24,2.2045421000220813
11,5116743,51,False,21,2.3538420999830123
12,4816963,48,False,24,2.221435499988729
13,5315788,53,False,18,2.5180145999765955
14,5616723,56,False,21,2.369370699976571
15,5916238,59,False,20,2.340477199992165
16,5916408,59,False,25,2.760458500008099
17,4515758,45,False,25,2.260993400006555
18,5916388,59,False,24,2.848620300006587
19,5916668,59,False,24,2.352511399978539
20,5615923,56,False,10,2.471361899981275
21,5517453,55,False,24,2.6688597000029404
22,5416703,54,False,29,2.687452199985273
23,5816438,58,False,27,3.551313100004336
24,4818498,48,False,29,3.257457700005034
25,5116703,51,False,29,3.7976552000036463
26,4116328,41,False,22,3.6742554000229575
27,6016163,60,False,27,4.711078300024383
28,6218038,62,False,23,5.66816739999922
29,5315938,53,False,26,5.36660569999367
