corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4816438,48,False,98,7.6459795999981
1,4816328,48,False,30,7.673518099996727
2,5316623,53,False,94,7.832462700025644
3,3516758,35,False,71,7.7835308000212535
4,5216568,52,False,70,7.857979799999157
5,5516178,55,False,67,8.139588000020012
6,3915803,39,False,8,7.966258600004949
7,4316283,43,False,82,7.713117300008889
8,5016238,50,False,77,7.738893100002315
9,5515248,55,False,95,7.569787000014912
10,4916568,49,False,20,7.6100023000035435
11,5116938,51,False,35,7.6610545000003185
12,3617238,36,False,94,7.741189699998358
13,5216113,52,False,84,7.610982599988347
14,4717733,47,False,56,7.720833900006255
15,4516843,45,False,42,7.899483699991833
16,4717223,47,False,94,7.975001299986616
17,4916173,49,False,66,7.883645499998238
18,4816913,48,False,99,7.683999899978517
19,4817538,48,False,40,7.744934599992121
20,4617033,46,False,36,7.795823499996914
21,5317773,53,False,55,7.82530389999738
22,4815488,48,False,37,7.801659399992786
23,4716898,47,False,72,7.729854000004707
24,3417063,34,False,26,7.828158799995435
25,4515638,45,False,66,7.736668300000019
26,5316633,53,False,94,9.292301800014684
27,4416593,44,False,93,9.33814330000314
28,5215373,52,False,94,9.356876100006048
29,4916473,49,False,41,9.21751309998217
