corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5916988,59,False,35,5.843203500000527
1,5116058,51,False,23,5.304633599997032
2,6217758,62,False,14,5.218386599997757
3,6316813,63,False,59,5.351344900002005
4,6516488,65,False,21,5.236580500000855
5,5817928,58,False,7,5.237478299997747
6,3615618,36,False,8,5.222663500011549
7,6117903,61,False,18,5.310418000008212
8,6016828,60,False,47,5.220335999998497
9,5817928,58,False,30,5.149580800003605
10,4815398,48,False,40,5.198549100008677
11,6116303,61,False,36,5.218516900000395
12,5515658,55,False,36,5.101050500001293
13,5917078,59,False,12,5.243427800000063
14,6417158,64,False,2,5.202457400009735
15,5118043,51,False,20,5.1780769000033615
16,5817958,58,False,25,5.350204999995185
17,6216273,62,False,9,5.299504900001921
18,5815888,58,False,42,5.1179132999968715
19,5916678,59,False,21,7.313775100003113
20,5415473,54,False,10,6.695067299995571
21,6216198,62,False,8,6.095230400009314
22,6516988,65,False,31,5.816920999990543
23,6617438,66,False,52,6.697650200003409
24,5516208,55,False,34,7.792668099995353
25,6216103,62,False,48,7.894995399998152
26,6716758,67,False,22,6.99149369999941
27,5816543,58,False,57,6.861931799998274
28,6215883,62,False,29,6.833973400003742
29,6017673,60,False,35,6.4550416999991285
