corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4915648,49,False,103,19.633758899988607
1,4716278,47,False,66,19.72264520000317
2,4016513,40,False,21,17.644739900017157
3,3816638,38,False,73,17.183084299991606
4,4316608,43,False,164,15.2920807999908
5,4917248,49,False,113,15.173677599988878
6,3815863,38,False,8,19.196107600000687
7,3916553,39,False,156,27.53289319999749
8,5516398,55,False,131,21.62066159999813
9,5016113,50,False,136,19.528580599988345
10,4316173,43,False,87,18.44984210000257
11,4618338,46,False,30,19.216387399996165
12,4515883,45,False,36,23.00782089997665
13,4516303,45,False,50,25.311812700005248
14,4917138,49,False,149,21.895147600007476
15,5417163,54,False,43,20.731742000003578
16,4616713,46,False,20,20.68928789999336
17,4716773,47,False,23,19.719912200002
18,5516328,55,False,108,19.80525000000489
19,3815618,38,False,76,19.491503900004318
20,4116178,41,False,45,19.392512499995064
21,5017473,50,False,148,19.619836800004123
22,4717343,47,False,68,19.866121400002157
23,5516033,55,False,23,19.65573779999977
24,3916283,39,False,84,19.44052780000493
25,4415673,44,False,69,19.36987080000108
26,4317163,43,False,22,20.0890284999914
27,4516338,45,False,124,19.39466839999659
28,4916358,49,False,117,19.211776900017867
29,4315558,43,False,80,20.654555099987192
