corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4716898,47,False,20,17.17084830001113
1,5317258,53,False,57,17.331003300001612
2,4216368,42,False,61,18.06300409999676
3,3816633,38,False,137,18.33504720000201
4,5217238,52,False,50,745.1531260999909
5,5017028,50,False,62,10.54494110000087
6,3015273,30,False,8,10.6940687999886
7,4416173,44,False,38,10.702552200003993
8,4517503,45,False,58,10.996708599996055
9,5516613,55,False,112,10.969670399994357
10,4816353,48,False,73,11.380283900012728
11,4916963,49,False,102,12.232460600003833
12,4216838,42,False,74,13.21704960000352
13,5016288,50,False,145,11.656321300019044
14,4416538,44,False,63,11.798515900009079
15,5216003,52,False,30,12.540632599993842
16,5016028,50,False,143,12.134617600007914
17,4515758,45,False,25,11.781574599997839
18,4916058,49,False,137,12.007455899991328
19,3816728,38,False,52,11.92663739999989
20,5017213,50,False,37,12.15648209999199
21,5017158,50,False,59,13.128643300005933
22,4616303,46,False,141,12.702451899996959
23,4816598,48,False,104,12.293411499995273
24,3715923,37,False,38,12.736882900004275
25,5116703,51,False,29,11.694539099989925
26,4116328,41,False,22,11.730513799993787
27,4915713,49,False,51,11.821962099988014
28,4417098,44,False,96,11.605512399983127
29,4616818,46,False,88,15.385103899985552
