corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5215848,52,False,63,10.344298500014702
1,5515853,55,False,81,10.549979000003077
2,5017173,50,False,61,10.719505300017772
3,5316343,53,False,86,10.609166599984746
4,5115563,51,False,81,9.57350719999522
5,5017663,50,False,38,9.117589100002078
6,2815268,28,False,8,9.75081249998766
7,5116473,51,False,67,11.153416199987987
8,5215778,52,False,98,10.387579500005813
9,5216928,52,False,87,9.63719680000213
10,5017138,50,False,72,10.262006600009045
11,4616708,46,False,72,10.608602799999062
12,4617468,46,False,27,9.712678700016113
13,5215488,52,False,75,9.692818300012732
14,5117908,51,False,70,9.931218500016257
15,4917223,49,False,68,9.804220400023041
16,4917133,49,False,61,10.735114499984775
17,4417228,44,False,93,9.260986799985403
18,5616033,56,False,69,9.563971499999752
19,4016438,40,False,52,11.712735100009013
20,5417303,54,False,99,11.882825300010154
21,4616348,46,False,24,11.453267599979881
22,4516123,45,False,97,11.166143300011754
23,4915863,49,False,72,11.329705199983437
24,4017528,40,False,90,11.305989800021052
25,4715883,47,False,60,11.47618070000317
26,5716963,57,False,30,11.439245099987602
27,5016888,50,False,82,11.401354600006016
28,5316463,53,False,31,11.278249299997697
29,4116363,41,False,88,11.475136199995177
