corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4517558,45,False,27,22.489863099996
1,4817078,48,False,65,23.248466099990765
2,4315973,43,False,73,24.65938029999961
3,4416518,44,False,47,22.673029600002337
4,4616713,46,False,96,22.70535249999375
5,5017658,50,False,42,22.487881599983666
6,3015263,30,False,4,22.647509600006742
7,4217433,42,False,15,22.01709710000432
8,4816713,48,False,46,22.175751999981003
9,4916368,49,False,65,22.7139866000216
10,4916053,49,False,89,23.078287400014233
11,4715968,47,False,36,22.9653968999919
12,4415293,44,False,46,22.50539690000005
13,4816948,48,False,86,22.061942300002556
14,4316318,43,False,92,21.964150200015865
15,5117493,51,False,95,22.463995400001295
16,5116578,51,False,32,22.83853450001334
17,4716633,47,False,88,21.188208100007614
18,3016423,30,False,26,19.635765199986054
19,3716798,37,False,26,19.50682019998203
20,5115948,51,False,96,19.600232500000857
21,4216488,42,False,12,19.647505300003104
22,4115948,41,False,78,19.89814300002763
23,4517068,45,False,82,19.429834000009578
24,3916443,39,False,82,19.302334799984237
25,5016613,50,False,97,19.058982300019125
26,5316963,53,False,54,19.434872699988773
27,4915973,49,False,51,19.37259630000335
28,5216338,52,False,85,19.596772899996722
29,3616308,36,False,50,19.776200399996014
