corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4716898,47,False,20,6.158756899996661
1,5317258,53,False,57,6.381716300005792
2,4615913,46,False,34,6.327703599992674
3,4715108,47,False,38,5.686897500010673
4,5217238,52,False,50,6.549330200010445
5,5116773,51,False,59,6.723887600004673
6,3015273,30,False,8,6.176589000009699
7,4416173,44,False,38,6.979946400009794
8,4517503,45,False,58,6.226299700007075
9,5717233,57,False,36,5.925395199999912
10,5215728,52,False,51,5.730146499990951
11,5116743,51,False,21,5.807893799996236
12,4415898,44,False,42,5.980955399980303
13,5315788,53,False,18,5.538752999971621
14,5315548,53,False,43,6.028961699979845
15,5216003,52,False,30,5.610462400014512
16,5716443,57,False,57,5.529920000000857
17,4515758,45,False,25,6.132252900017193
18,5416708,54,False,41,6.098963199998252
19,3816728,38,False,52,5.88633999999729
20,5017213,50,False,37,6.087652199988952
21,5017158,50,False,59,5.534798400010914
22,5116173,51,False,57,5.493514700006926
23,5417963,54,False,48,5.919536000001244
24,3715923,37,False,38,6.036591199983377
25,5116703,51,False,29,10.790619200008223
26,4116328,41,False,22,21.02025080000749
27,4915713,49,False,51,17.324995200004196
28,4817638,48,False,31,20.930293499986874
29,5017213,50,False,53,20.62879439999233
