corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5517833,55,False,24,2.1648579000029713
1,5816948,58,False,24,1.9138209000229836
2,3916968,39,False,26,1.937914100009948
3,4515353,45,False,21,1.9822229999990668
4,5616993,56,False,23,1.9671508000174072
5,5317418,53,False,27,1.9996773000166286
6,6016293,60,False,19,1.9745125999907032
7,4415913,44,False,18,1.98006470000837
8,6016518,60,False,28,1.9933409999939613
9,5216763,52,False,16,1.9959263999771792
10,5516823,55,False,20,2.0094633000262547
11,4216148,42,False,28,2.0326094000192825
12,4718183,47,False,28,2.1690008000005037
13,5715318,57,False,20,2.1837123000004794
14,5415748,54,False,18,2.0874008999962825
15,4815973,48,False,23,2.069559499999741
16,4416763,44,False,20,2.0655377999937627
17,4616878,46,False,9,2.4767951000249013
18,5416243,54,False,27,2.119951200002106
19,4816413,48,False,24,2.1052230000204872
20,5315833,53,False,25,2.1015354999981355
21,6317863,63,False,28,2.105085799994413
22,4816498,48,False,25,2.1132763999921735
23,5517303,55,False,26,2.300897499982966
24,4217008,42,False,29,2.165849500015611
25,6017938,60,False,25,2.073837400006596
26,5716483,57,False,23,2.0799642999772914
27,5516018,55,False,27,2.1098294999974314
28,5616843,56,False,23,2.083494899998186
29,4616568,46,False,26,2.0877368999936152
