corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5517833,55,False,24,6.2866342999914195
1,4715933,47,False,35,7.261447500000941
2,3916968,39,False,26,10.723464499984402
3,4416898,44,False,30,6.116554099979112
4,4617043,46,False,46,4.994241799984593
5,5317418,53,False,27,5.519058000005316
6,5616503,56,False,32,6.124554100009846
7,3816063,38,False,45,5.295343200006755
8,5915718,59,False,55,5.9838234999915585
9,5215778,52,False,39,9.53728069999488
10,5416188,54,False,55,8.220524000003934
11,4216148,42,False,28,6.228979900013655
12,4617083,46,False,57,6.397848399996292
13,5416603,54,False,53,8.718251899990719
14,5116823,51,False,57,5.59934760001488
15,4815973,48,False,23,6.776204199995846
16,4416763,44,False,20,5.699708900006954
17,4216918,42,False,57,6.04374409999582
18,5217163,52,False,30,4.850364399986574
19,4816413,48,False,24,5.039805900014471
20,3315598,33,False,56,5.305001100001391
21,5916598,59,False,37,5.008146400010446
22,4716908,47,False,52,5.45236960001057
23,5417233,54,False,37,5.3816919999953825
24,3616388,36,False,37,5.317539500014391
25,5715183,57,False,50,6.693772600003285
26,5716483,57,False,23,5.80491860001348
27,3717183,37,False,43,7.210150699975202
28,5216603,52,False,37,6.187558999983594
29,4616568,46,False,26,6.374153599987039
