corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2015643,20,False,15240,10.789630200000829
1,3516423,35,False,15616,10.285722700005863
2,1216103,12,False,16456,10.298949499992887
3,1315333,13,False,15393,10.144174200002453
4,2515558,25,False,14320,10.213758099998813
5,1115713,11,False,16219,10.064327600004617
6,215533,2,False,15756,10.035101500005112
7,1315233,13,False,16680,10.350867899993318
8,1215433,12,False,12579,10.094880699994974
9,1215033,12,False,15429,10.093448800005717
10,2614203,26,False,20997,9.906363999994937
11,815143,8,False,16306,9.97370210000372
12,1015038,10,False,21527,10.37046379999083
13,1015958,10,False,14876,9.989671599993017
14,1714943,17,False,15928,10.010942199995043
15,815343,8,False,15978,10.169845200012787
16,815513,8,False,14167,10.279646499999217
17,16033,0,True,13938,10.142659100005403
18,1414843,14,False,13663,10.096925699996063
19,3317243,33,False,15848,10.327885499995318
20,1515713,15,False,15591,10.117768500000238
21,1715563,17,False,15781,10.156396300008055
22,815013,8,False,14026,9.930243700000574
23,2317028,23,False,19037,10.30180480000854
24,2014793,20,False,20960,9.912057099994854
25,3216243,32,False,15456,11.604839299994637
26,1216003,12,False,15748,10.956455899999128
27,2415863,24,False,14660,10.398407200002111
28,1116433,11,False,16431,10.03151010000147
29,1415863,14,False,15614,10.120028000004822
