corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,1614313,16,False,8718,2.841336199999205
1,2117033,21,False,8635,2.687788499999442
2,2116543,21,False,7920,2.872106499999063
3,2715833,27,False,7295,2.753632899999502
4,2915133,29,False,8449,2.720371500006877
5,1115823,11,False,8147,2.8055774999957066
6,1515543,15,False,7820,2.746715300003416
7,1714433,17,False,7739,2.8447916000004625
8,16033,0,True,7157,2.7748874999961117
9,515663,5,False,6851,2.749727400005213
10,2414128,24,False,8334,2.9001164000073913
11,2114513,21,False,6018,2.807916599995224
12,1316043,13,False,7903,2.7513125999976182
13,3216313,32,False,8569,2.8179743999935454
14,2015523,20,False,7980,2.7644892999960575
15,1515953,15,False,8279,2.7814455999905476
16,1016023,10,False,8204,2.842752800002927
17,215533,2,False,6966,2.811354699995718
18,4415783,44,False,6667,2.8995147999958135
19,2214723,22,False,6745,2.870155299999169
20,1515718,15,False,8558,2.7509812000062084
21,3715623,37,False,8086,2.7579914000089047
22,1415023,14,False,8690,2.7679557999945246
23,1116543,11,False,7905,2.845469400010188
24,3615233,36,False,7736,2.78106619999744
25,2416043,24,False,8356,2.7925875000073574
26,3315533,33,False,6472,2.746096499991836
27,2115128,21,False,6669,2.7454842000006465
28,2015253,20,False,8937,2.8230867000092985
29,1515993,15,False,7202,2.8438383000029717
