corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2015643,20,False,11803,6.888881299993955
1,1714823,17,False,16053,6.566507600000477
2,1216103,12,False,11966,6.447478699992644
3,2015863,20,False,11833,6.688978900012444
4,2215888,22,False,11488,6.579596700001275
5,1115713,11,False,14071,6.503990799988969
6,215533,2,False,11671,6.388037099997746
7,2115133,21,False,16306,6.500896400000784
8,1215433,12,False,12778,6.496451800005161
9,1215033,12,False,11430,6.685697500011884
10,2614733,26,False,11892,6.686163999998826
11,1415613,14,False,9913,6.3100718000059715
12,1215543,12,False,10762,6.3510648000083165
13,1015958,10,False,10731,6.28451350000978
14,1714823,17,False,12575,6.455278099994757
15,1714843,17,False,10896,7.448604799996247
16,1415113,14,False,11150,6.54110670000955
17,315833,3,False,15101,6.250209399993764
18,1414843,14,False,10084,6.47059279998939
19,2215813,22,False,11697,6.196290699997917
20,1515713,15,False,11025,6.312396199995419
21,1715573,17,False,9589,7.713763399995514
22,815013,8,False,10827,6.686407100001816
23,2114823,21,False,14962,6.158581399999093
24,1614423,16,False,12934,6.421685499997693
25,3216258,32,False,16236,6.128892299995641
26,1616013,16,False,11702,6.3278815999947255
27,2415863,24,False,10650,6.400410800008103
28,1416313,14,False,15056,6.197479499998735
29,915093,9,False,14174,6.227024400010123
