corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,6115843,61,False,12,4.82843620001222
1,5916773,59,False,16,4.429714099998819
2,6216838,62,False,11,4.622163199994247
3,5516718,55,False,29,3.3789144000038505
4,5617408,56,False,23,2.9522928000078537
5,6215383,62,False,25,3.0559067000285722
6,2815268,28,False,8,3.0144067000073846
7,6117008,61,False,20,2.9632079000002705
8,6516763,65,False,7,3.129728600004455
9,6016983,60,False,29,3.009238300001016
10,5616943,56,False,25,2.947182200005045
11,5317823,53,False,22,2.1593347000016365
12,4617468,46,False,27,2.667464600002859
13,5715738,57,False,28,2.6004784000106156
14,5616548,56,False,21,2.6822546999901533
15,6316658,63,False,20,2.587086299987277
16,6216168,62,False,6,2.6126385000243317
17,5717253,57,False,25,2.5417801000003237
18,5916738,59,False,25,3.1483015999838244
19,6015763,60,False,17,2.964930199988885
20,5615883,56,False,10,2.660711300006369
21,4616348,46,False,24,3.0009684000106063
22,6217573,62,False,16,3.0202720999950543
23,5917273,59,False,22,3.1229924999934155
24,6117333,61,False,5,3.739804800017737
25,6216208,62,False,16,3.1844842999998946
26,5817298,58,False,21,2.828639600018505
27,5716318,57,False,27,3.0157971999724396
28,5615643,56,False,12,2.5999780999845825
29,4916778,49,False,25,2.5690477000025567
