corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2116133,21,False,10971,5.441962900004
1,3915223,39,False,8540,5.288048800008255
2,1216103,12,False,10608,5.695950199995423
3,2015863,20,False,8094,5.704226500005461
4,2216198,22,False,9675,5.675008099991828
5,1115713,11,False,13192,5.3116302999987965
6,215533,2,False,8845,4.978460900005302
7,2315423,23,False,13447,4.849748000007821
8,1615398,16,False,7901,4.764255000001867
9,1215033,12,False,10804,5.116566999990027
10,2614203,26,False,11651,4.919624799993471
11,1116173,11,False,9622,5.023834899999201
12,1315138,13,False,12239,5.443276400008472
13,1416068,14,False,13384,5.513158599991584
14,2315658,23,False,8231,5.49775850000151
15,2616323,26,False,7406,5.686485900005209
16,1415113,14,False,8271,5.352085599995917
17,815763,8,False,7681,5.996916899995995
18,1414843,14,False,10753,5.438068100003875
19,2315813,23,False,10263,5.4080486000020755
20,1515713,15,False,8441,5.445752500003437
21,1615793,16,False,13078,5.586742699990282
22,815013,8,False,7472,5.229991100000916
23,2816813,28,False,13104,5.11283579999872
24,2114193,21,False,13764,5.558599900003173
25,3316233,33,False,10186,5.2197645000123885
26,1816243,18,False,7581,5.597862099995837
27,1415573,14,False,8845,5.271941399987554
28,1816313,18,False,11070,5.601787399995374
29,1214473,12,False,13275,5.727306400003727
