corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4915648,49,False,103,11.761123000003863
1,4716278,47,False,66,15.881408399989596
2,4016513,40,False,21,14.153268399997614
3,3816638,38,False,73,14.834427399997367
4,4318103,43,False,96,12.023027299990645
5,4917248,49,False,113,15.815117899997858
6,3815863,38,False,8,15.29963759999373
7,4016438,40,False,116,16.206868400011444
8,5516398,55,False,131,16.13908999998239
9,5016113,50,False,136,17.69902309999452
10,4316173,43,False,87,17.814938800001983
11,4618338,46,False,30,19.95054630000959
12,4515883,45,False,36,31.22160069999518
13,4516303,45,False,50,23.207995100005064
14,4917138,49,False,149,22.104619199992158
15,5417163,54,False,43,23.789553699985845
16,4616713,46,False,20,21.452040900010616
17,4716773,47,False,23,21.688228200015146
18,5516328,55,False,108,20.09948059997987
19,3815618,38,False,76,18.010260300012305
20,4116178,41,False,45,235.71636849999777
21,5017473,50,False,148,11.363926000020001
22,4717343,47,False,68,11.103306000004523
23,5516033,55,False,23,11.64589210000122
24,3916283,39,False,84,10.502402999991318
25,4415673,44,False,69,10.851557300018612
26,4317163,43,False,22,11.256599100015592
27,4516338,45,False,124,12.02178539999295
28,4916358,49,False,117,11.92698289998225
29,4315558,43,False,80,11.792172899993602
