corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2116133,21,False,10971,4.500941100006457
1,3915223,39,False,8540,4.244633199996315
2,1216103,12,False,10608,5.426993700006278
3,2015863,20,False,8094,5.806062699994072
4,2216198,22,False,9675,4.130382699993788
5,1115723,11,False,7166,4.360279699991224
6,215533,2,False,8845,4.201851299992995
7,2315463,23,False,12683,4.171807199993054
8,1615398,16,False,7901,4.306709399999818
9,1215033,12,False,10804,4.298713500000304
10,2614203,26,False,11651,4.254653100011637
11,1116173,11,False,9622,4.216885699992417
12,1315138,13,False,12239,4.182440999997198
13,1516043,15,False,12919,4.1602606999949785
14,2315658,23,False,8231,4.031816400005482
15,2616323,26,False,7406,4.1830805000063265
16,1415113,14,False,8271,4.065014199994039
17,815763,8,False,7681,4.218297499988694
18,1414843,14,False,10753,4.363740100001451
19,2315813,23,False,10263,5.136378799987142
20,1515713,15,False,8441,5.088391199999023
21,1615793,16,False,13078,4.212685899998178
22,815013,8,False,7472,4.587809100004961
23,2816813,28,False,13104,4.0515228000003844
24,2114308,21,False,12691,4.379891799995676
25,3316233,33,False,10186,4.093865500006359
26,1816243,18,False,7581,4.469947599995066
27,1415573,14,False,8845,4.065385999987484
28,1816313,18,False,11070,4.232560300006298
29,1214503,12,False,12378,4.182108499997412
