corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4916648,49,False,1789,0.48536480001348536
1,3515778,35,False,1756,0.48160050000296906
2,3415143,34,False,1579,0.518565700011095
3,4215368,42,False,1751,0.5894458000111626
4,3613553,36,False,1735,0.5817399999941699
5,4215878,42,False,1613,0.546072400000412
6,3916073,39,False,1808,0.6711620999994921
7,3414933,34,False,1816,0.8942678999883356
8,4114868,41,False,1739,0.7632906000071671
9,3414333,34,False,1822,0.512168200002634
10,4115463,41,False,1672,0.4761034999974072
11,3014988,30,False,1772,0.48330880000139587
12,3916498,39,False,1826,0.4803459999966435
13,2715773,27,False,1257,0.47963899999740534
14,2915393,29,False,1796,0.5073452000069665
15,3416013,34,False,1783,0.5054272999987006
16,3116448,31,False,1811,0.483329099995899
17,3814828,38,False,1697,0.4934281000023475
18,2316423,23,False,1818,0.48731490000500344
19,3714928,37,False,1722,0.5010897000029217
20,4616258,46,False,1823,0.5434551999933319
21,4015758,40,False,1396,0.5449577999970643
22,2414743,24,False,1826,0.5046409999922616
23,3116243,31,False,1790,0.49150099999678787
24,4516373,45,False,1650,0.4840420999971684
25,4015838,40,False,1806,0.49949780000315513
26,4016903,40,False,1581,0.49030259999562986
27,4415578,44,False,1734,0.5120861000032164
28,3416463,34,False,1810,0.5206840999890119
29,4117188,41,False,1760,0.4819352000049548
