corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,3516178,35,False,2079,0.7767801000009058
1,3616463,36,False,2109,0.8225176999985706
2,3415373,34,False,2156,1.0141596000030404
3,2916178,29,False,2013,1.0628014999965671
4,3016853,30,False,2158,0.7514578999980586
5,2614653,26,False,2096,0.7213186000008136
6,3916903,39,False,2148,0.7044037000014214
7,4315813,43,False,2037,0.7184067000052892
8,2015258,20,False,2155,0.6509470000019064
9,3014918,30,False,2053,0.7945271999924444
10,3916463,39,False,2145,0.6675876999943284
11,2715368,27,False,2147,0.6617729999998119
12,3114898,31,False,2051,0.6597297999978764
13,3515873,35,False,1972,0.648049199997331
14,2715498,27,False,2110,0.6635457999946084
15,3115548,31,False,2092,0.6776685999939218
16,2115658,21,False,2089,0.6465160999941872
17,1815963,18,False,2124,0.652457999996841
18,4716043,47,False,1526,0.6497839000076056
19,3915683,39,False,2144,0.6657643999933498
20,4217033,42,False,2016,0.7283663999987766
21,3415568,34,False,2040,0.7036469000013312
22,2315563,23,False,2146,0.7052853999921354
23,4116338,41,False,1982,0.6469834999879822
24,3916648,39,False,2142,0.6674942000099691
25,4416003,44,False,2008,0.6551815999991959
26,3615118,36,False,1988,0.6674233999947319
27,3416898,34,False,2157,0.6788939999969443
28,3816813,38,False,2153,0.6806450000003679
29,3815973,38,False,2106,0.8274969000049168
