corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4716898,47,False,20,8.813025700015714
1,5317258,53,False,57,8.983422699995572
2,4216368,42,False,61,8.092524099978618
3,4415818,44,False,84,7.952834700001404
4,5217238,52,False,50,7.9318097999785095
5,5017028,50,False,62,7.76746090000961
6,3015273,30,False,8,7.818683399993461
7,4416173,44,False,38,7.686316699982854
8,4517503,45,False,58,7.876507000008132
9,5715948,57,False,94,7.784059999976307
10,4816353,48,False,73,8.15481279999949
11,5017318,50,False,99,7.6096702000068035
12,4216838,42,False,74,7.8056827999826055
13,5315788,53,False,18,7.83423710000352
14,4416538,44,False,63,8.031274500011932
15,5216003,52,False,30,7.959971299977042
16,5316898,53,False,72,8.133348799980013
17,4515758,45,False,25,7.9697291999764275
18,4916263,49,False,73,7.655656799994176
19,3816728,38,False,52,7.714246799994726
20,5017213,50,False,37,7.721118100016611
21,5017158,50,False,59,8.149867200001609
22,4616443,46,False,91,7.587642099999357
23,5016743,50,False,83,7.667404599982547
24,3715923,37,False,38,7.702694800012978
25,5116703,51,False,29,7.575950400001602
26,4116328,41,False,22,7.7569903999974485
27,4915713,49,False,51,7.801600999984657
28,4417098,44,False,96,7.663079899997683
29,4616818,46,False,88,7.74926549999509
