corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,1915803,19,False,9046,3.188573199993698
1,1416128,14,False,9554,2.9831715999898734
2,1216103,12,False,8476,3.109972699996433
3,2715833,27,False,7295,2.9775704000057885
4,2515983,25,False,8452,3.0450172999990173
5,1115713,11,False,8237,2.946357699998771
6,1415513,14,False,8791,3.0427388999960385
7,2116093,21,False,6852,3.004803499992704
8,1215173,12,False,6160,3.0894331999879796
9,1215033,12,False,6687,2.9771845000068424
10,3115303,31,False,7937,3.0354910000023665
11,1116173,11,False,5553,2.96562350000022
12,1216023,12,False,8767,3.384537600009935
13,1516043,15,False,7492,3.344533700001193
14,2315658,23,False,6526,3.1671666000038385
15,2515618,25,False,9837,3.2259534999902826
16,1216243,12,False,9603,3.14703950000694
17,215533,2,False,7665,3.4994063999911305
18,1915443,19,False,9085,3.138159900001483
19,2216143,22,False,6405,3.097978799996781
20,1815143,18,False,7664,3.008937300008256
21,2815123,28,False,8029,2.989562000002479
22,1415023,14,False,8706,3.0560594999988098
23,716473,7,False,9315,3.00328650001029
24,3514763,35,False,8216,3.0166865999926813
25,4116633,41,False,8414,3.019317199999932
26,1515493,15,False,7657,3.042726200001198
27,2615573,26,False,5322,3.042674900003476
28,2616503,26,False,8908,2.981478800007608
29,1915143,19,False,7717,3.000850600001286
