corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2116138,21,False,9267,3.321632999999565
1,3915223,39,False,8540,3.363964499993017
2,1216103,12,False,10608,3.2584616000094684
3,2015863,20,False,8094,3.268864099998609
4,2216198,22,False,9675,3.2206335000082618
5,1115723,11,False,7166,3.30057969999325
6,215533,2,False,8845,3.3188364999950863
7,2815413,28,False,10739,3.2282422999996925
8,1615398,16,False,7901,3.2494057000003522
9,1215033,12,False,10804,3.3326811000006273
10,2614733,26,False,7442,3.2192967000009958
11,1116173,11,False,9622,3.281594199987012
12,1415143,14,False,10779,3.235050399991451
13,2215923,22,False,10754,3.2203597000043374
14,2315658,23,False,8231,3.2807443999918178
15,2616323,26,False,7406,3.2478639999899315
16,1415113,14,False,8271,3.3926957999938168
17,815763,8,False,7681,3.196137800012366
18,1414843,14,False,10753,3.2695544000016525
19,2315813,23,False,10263,3.2677566000056686
20,1515713,15,False,8441,3.2403460999921663
21,1615803,16,False,9018,3.2541685000032885
22,815013,8,False,7472,3.2779617000051076
23,3316638,33,False,9839,3.261508800002048
24,2214518,22,False,8784,3.2672193000034895
25,3316233,33,False,10186,3.2492007999971975
26,1816243,18,False,7581,3.2448131999990437
27,1415573,14,False,8845,3.338732700009132
28,1816333,18,False,10570,3.393931900005555
29,1414653,14,False,9892,3.2707771999994293
