costo_promedio,mejor_costo,peor_costo,desviacion_estandar,coeficiente_variacion,porcentaje_factible,tiempo_promedio,iteracion_convergencia_promedio,nombre
5189994.833333333,3916968,6317863,634188.2608044812,0.12219439154955124,0.0,2.081674990002648,23.333333333333332,combo_01
5359939.5,3015273,6218038,668005.5766287848,0.12462931281757654,0.0,2.8463987633323997,23,combo_02
5696624.666666667,2815268,6516763,713255.927715476,0.12520676180213078,0.0,3.0679385400018266,19.133333333333333,combo_03
4843232.5,3315598,5916598,717725.3903182609,0.14819139703044626,0.0,6.338416136665425,38.7,combo_04
4856491.333333333,3015273,5717233,602332.5673712919,0.12402628276860757,0.0,8.0416072299995,40.1,combo_05
5353237.5,2815268,6016983,664253.2954785032,0.12408440602131014,0.0,8.483746670003166,35.93333333333333,combo_06
4749997.333333333,2915903,5916598,722366.7067495773,0.15207728679768606,0.0,9.701271473335995,46.53333333333333,combo_07
4689871,3015273,5715948,565834.4133264455,0.12065031497165818,0.0,9.43939946333121,56.833333333333336,combo_08
4879912.666666667,2815268,5716963,585227.6389885324,0.11992584272789561,0.0,10.577850033335077,66.73333333333333,combo_09
4516529,3015263,5316963,596149.9851061552,0.13199294969791076,0.0,21.37147632666747,59.43333333333333,combo_10
