corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4415903,44,False,148,11.8422794000071
1,4816328,48,False,30,12.024507900001481
2,5117233,51,False,142,11.852398000017274
3,3416833,34,False,140,11.907837400009157
4,5016873,50,False,113,11.977612200018484
5,5516178,55,False,67,11.574666900007287
6,3915803,39,False,8,11.882482600020012
7,4316283,43,False,82,11.781638299988117
8,4915383,49,False,146,11.625533399987034
9,5315238,53,False,107,11.781273500004318
10,4916568,49,False,20,12.40049870000803
11,5116938,51,False,35,13.337458299996797
12,3617238,36,False,94,11.945533100020839
13,5016558,50,False,109,11.699922300002072
14,4717733,47,False,56,12.446005499979947
15,4516843,45,False,42,17.536288300005253
16,4716523,47,False,138,16.153168899996672
17,4916173,49,False,66,14.61753650000901
18,4516483,45,False,143,15.255286200001137
19,4817538,48,False,40,17.772689800010994
20,4617033,46,False,36,18.80548589999671
21,5317773,53,False,55,17.38318619999336
22,4815488,48,False,37,17.355346299998928
23,4716898,47,False,72,17.391153399978066
24,3417063,34,False,26,17.46821049999562
25,4116178,41,False,125,17.591825300012715
26,5216368,52,False,116,17.684419099998195
27,4416593,44,False,93,17.609405600000173
28,4815673,48,False,145,17.35308219998842
29,4916473,49,False,41,17.504590900003677
