corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2015643,20,False,11803,7.644232499995269
1,1414943,14,False,17780,7.596538600002532
2,1216103,12,False,11966,7.547458200002438
3,2015863,20,False,11833,7.986997399988468
4,2215888,22,False,11488,8.103601999988314
5,1115713,11,False,14071,8.082842500007246
6,215533,2,False,11671,7.083858599988162
7,2115103,21,False,18279,6.764005399993039
8,1215433,12,False,12778,6.762256199988769
9,1215033,12,False,11430,6.735733599998639
10,2614733,26,False,11892,7.076849100005347
11,1415613,14,False,9913,7.379704400009359
12,1215543,12,False,10762,8.600659599993378
13,1015958,10,False,10731,7.938621199995396
14,1714823,17,False,12575,7.420652100001462
15,1714843,17,False,10896,7.668328100000508
16,1415113,14,False,11150,7.582559399990714
17,315833,3,False,15101,7.5697489000012865
18,1414843,14,False,10084,7.919833499996457
19,2215813,22,False,11697,7.675105299989809
20,1515713,15,False,11025,7.4977319999889005
21,1715573,17,False,9589,7.651860400001169
22,815013,8,False,10827,7.5573211000009906
23,1315153,13,False,18661,7.812011999994866
24,1614423,16,False,12934,7.451583300004131
25,3216243,32,False,17026,7.421049399999902
26,1616013,16,False,11702,7.489593000005698
27,2415863,24,False,10650,8.02412390000245
28,1316313,13,False,18710,7.607396399995196
29,915093,9,False,14174,7.467345099998056
