corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2015643,20,False,15240,14.316640799996094
1,3516423,35,False,15616,12.36309220000112
2,1216103,12,False,16456,10.456608599997708
3,1315333,13,False,15393,10.611027599996305
4,2515558,25,False,14320,10.599949800001923
5,1115713,11,False,16219,10.578232100000605
6,215533,2,False,15756,12.031707999994978
7,1315233,13,False,16680,11.257103399999323
8,1215433,12,False,12579,12.484938900000998
9,1215033,12,False,15429,12.191830399999162
10,2614203,26,False,20997,10.203907199989771
11,815143,8,False,16306,10.1905345999985
12,1015038,10,False,21527,10.754507899997407
13,1015958,10,False,14876,9.992751800004044
14,1714943,17,False,15928,9.975972999993246
15,815343,8,False,15978,10.156254000001354
16,815513,8,False,14167,10.419416899996577
17,16033,0,True,13938,10.46775979999802
18,1414843,14,False,13663,10.862423099999432
19,3317243,33,False,15848,11.07432100000733
20,1515713,15,False,15591,10.52143839999917
21,1715563,17,False,15781,10.498016099998495
22,815013,8,False,14026,10.475030899993726
23,2317028,23,False,19037,12.170182900008513
24,2014793,20,False,20960,11.624391799996374
25,3216243,32,False,15456,11.52230129999225
26,1216003,12,False,15748,11.473401800001739
27,2415863,24,False,14660,11.73816190000798
28,1116433,11,False,16431,11.950200699997367
29,1415863,14,False,15614,9.987673699986772
