corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2515053,25,False,5391,2.9156627000047592
1,3915318,39,False,5209,2.06736680000904
2,2415843,24,False,5031,1.8149774000048637
3,2915873,29,False,4245,1.909880700011854
4,2615528,26,False,5361,1.7115370999963488
5,1215543,12,False,3904,1.7382183000008808
6,3215728,32,False,5142,1.689306200001738
7,2514963,25,False,5359,1.7531088999967324
8,1315533,13,False,5108,1.7579797000071267
9,1514978,15,False,4799,1.7261040000012144
10,3614733,36,False,4209,1.750301899999613
11,1116193,11,False,5372,1.7048725000058766
12,3116413,31,False,5398,1.7528917000017827
13,1315928,13,False,4915,1.6373287000023993
14,2315658,23,False,4837,1.609850600012578
15,1914543,19,False,3817,1.60286709999491
16,1216273,12,False,5090,1.6306619999959366
17,1514438,15,False,5166,1.6881915999983903
18,4215983,42,False,4450,1.625501799993799
19,3615833,36,False,5343,1.6551456000015605
20,2816043,28,False,5202,1.6240154999977676
21,3115723,31,False,4657,1.6511379000003217
22,815023,8,False,5347,1.7111979999899631
23,2415828,24,False,5117,1.63639269999112
24,3114298,31,False,5001,1.655983999997261
25,4017133,40,False,4826,1.6533603999996558
26,2216138,22,False,4524,1.608577699997113
27,2615383,26,False,5357,1.7001593000022694
28,2616503,26,False,3242,1.6144493000028888
29,3015118,30,False,5402,1.679950200006715
