costo_promedio,mejor_costo,peor_costo,desviacion_estandar,coeficiente_variacion,porcentaje_factible,tiempo_promedio,iteracion_convergencia_promedio,nombre
3682355.8333333335,2316423,4916648,635007.150196892,0.17244589576289598,0.0,0.5338037500002731,1724.6,combo_01
2498978.8333333335,1015963,4115453,826431.6443999836,0.33070774084853866,0.0,1.250777413334678,4254.766666666666,combo_02
1985565.8333333333,16033,4415783,1020802.8750573326,0.514111825415341,3.3333333333333335,2.796617486666946,7766.9,combo_03
3692365.1666666665,2514663,5216103,688491.5366377918,0.18646355535287887,0.0,0.620964943333335,1866.2333333333333,combo_04
2422315.3333333335,815158,4415973,909105.6651966501,0.3753044257642688,0.0,1.5237473733320561,4475.633333333333,combo_05
1909047.5,215533,4116633,859387.3750580841,0.45016552760373124,0.0,3.084409769999911,7945.6,combo_06
3369251.3333333335,1815963,4716043,737826.5377787483,0.21898827507438792,0.0,0.719053793331841,2071.4,combo_07
2495584.8333333335,815023,4215983,932812.6830826213,0.3737852028202426,0.0,1.7425660100008826,4894.033333333334,combo_08
1865627.6666666667,215533,3915223,819178.6930317014,0.43909012911206186,0.0,3.275767206666448,9115.633333333333,combo_09
1795608.1666666667,215533,3915223,780640.2514740851,0.43474977779993673,0.0,4.387503706664817,9972.3,combo_10
