corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2715233,27,False,4885,1.5885379999963334
1,2316743,23,False,4930,1.6408532000059495
2,2415668,24,False,4135,1.5373452999920119
3,3115953,31,False,3750,1.5031918000022415
4,2917513,29,False,4790,1.6187951000028988
5,1115713,11,False,4718,1.494321200007107
6,2515238,25,False,4261,1.4876784999942174
7,1513713,15,False,4373,1.6367748999909963
8,2115743,21,False,4723,1.4901060999982292
9,1514983,15,False,4379,1.479351100002532
10,3514683,35,False,4559,1.494975900001009
11,815158,8,False,4465,1.489073600008851
12,1716133,17,False,4875,1.4916752999997698
13,2316343,23,False,4934,1.502066899993224
14,2915968,29,False,4939,1.546389299997827
15,2014543,20,False,3082,1.4985937000019476
16,1415323,14,False,4235,1.489353699987987
17,1915453,19,False,4699,1.4977302000042982
18,4215983,42,False,4450,1.4854595999931917
19,1416103,14,False,4610,1.4808438999898499
20,2415833,24,False,4129,1.5648763999924995
21,2616043,26,False,4749,1.5598953000007896
22,1115043,11,False,4665,1.498365899999044
23,2116153,21,False,4355,1.4779826999874786
24,3915628,39,False,3995,1.502705999999307
25,4415973,44,False,4248,1.538323600005242
26,3315563,33,False,4367,1.6511836999998195
27,2814613,28,False,4444,1.48118329999852
28,2316518,23,False,4650,1.504156499999226
29,3115903,31,False,4875,1.4806305000092834
