corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5116043,51,False,92,6.954645099991467
1,4716278,47,False,66,6.557911100011552
2,4016513,40,False,21,6.618089800002053
3,3816638,38,False,73,7.5199145000078715
4,4318103,43,False,96,7.5874876999878325
5,5117278,51,False,94,7.605542300007073
6,3815863,38,False,8,7.809400600002846
7,4016453,40,False,91,7.621613099996466
8,5815783,58,False,18,7.613510199997108
9,5316663,53,False,62,7.578192999993917
10,4316173,43,False,87,7.540093199990224
11,4618338,46,False,30,7.728935399994953
12,4515883,45,False,36,7.565978899976471
13,4516303,45,False,50,7.618837599991821
14,4917253,49,False,61,7.54382789999363
15,5417163,54,False,43,7.56983909997507
16,4616713,46,False,20,7.509509700001217
17,4716773,47,False,23,7.489546600001631
18,5616678,56,False,96,7.555068299989216
19,3815618,38,False,76,7.6318238999811
20,4116178,41,False,45,7.496211300021969
21,5017828,50,False,93,7.550607200013474
22,4717343,47,False,68,7.584557400026824
23,5516033,55,False,23,7.8865950999897905
24,3916283,39,False,84,7.560449700016761
25,4415673,44,False,69,8.795142999995733
26,4317163,43,False,22,7.889119399973424
27,4716333,47,False,84,7.812962800002424
28,5016248,50,False,74,7.8906964999914635
29,4315558,43,False,80,8.263812700024573
