corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2015678,20,False,9671,3.8403249999973923
1,2314663,23,False,9877,3.6393456000078004
2,1216138,12,False,8491,3.861770899995463
3,2015888,20,False,9499,3.4848960999952396
4,2315893,23,False,9937,4.439995000007912
5,1115748,11,False,9117,4.695651499991072
6,215568,2,False,9671,4.214835799997672
7,2415158,24,False,9036,4.150347700007842
8,1715753,17,False,8692,4.022970699996222
9,1215058,12,False,9740,4.173916399988229
10,2614988,26,False,8884,4.555675800002064
11,1415613,14,False,9913,4.240048499996192
12,1315078,13,False,9935,4.096923599994625
13,1015963,10,False,8899,3.9865248999994947
14,2416153,24,False,7247,3.9997996000020066
15,2114733,21,False,9815,4.031168300003628
16,1415158,14,False,9792,3.973185900002136
17,315848,3,False,9377,4.142981299999519
18,1414853,14,False,9832,4.526891999994405
19,2215858,22,False,9081,4.394094200004474
20,1515758,15,False,9879,3.9970748999912757
21,1715573,17,False,9589,3.9603004999953555
22,815038,8,False,9932,4.0505394999927375
23,2715568,27,False,9811,4.001047300000209
24,1714473,17,False,9204,4.1093014999933075
25,3616858,36,False,8938,4.061656999998377
26,1616263,16,False,9585,4.039128000003984
27,2615363,26,False,8945,4.245330300007481
28,2315578,23,False,8421,4.06915100000333
29,1215103,12,False,9896,4.294778999988921
