corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,2116133,21,False,10971,5.34661250001227
1,3915223,39,False,8540,5.198251599998912
2,1216103,12,False,10608,4.985199699993245
3,2015863,20,False,8094,4.895008399995277
4,2216198,22,False,9675,5.010241600000882
5,1115723,11,False,7166,4.9514452000003075
6,215533,2,False,8845,4.837954900009208
7,2315463,23,False,12683,5.008002099988516
8,1615398,16,False,7901,5.261488099989947
9,1215033,12,False,10804,4.998760799993761
10,2614203,26,False,11651,5.08941230000346
11,1116173,11,False,9622,4.928514500003075
12,1315138,13,False,12239,4.859499600002891
13,1516043,15,False,12919,4.834132900010445
14,2315658,23,False,8231,5.237542899994878
15,2616323,26,False,7406,5.090820700002951
16,1415113,14,False,8271,5.015821699998924
17,815763,8,False,7681,5.073185100001865
18,1414843,14,False,10753,5.142606800000067
19,2315813,23,False,10263,4.950997299994924
20,1515713,15,False,8441,4.999526900006458
21,1615793,16,False,13078,4.95248019999417
22,815013,8,False,7472,5.211329300000216
23,2816813,28,False,13104,6.077736099992762
24,2114308,21,False,12691,5.416844600011245
25,3316233,33,False,10186,5.227680000010878
26,1816243,18,False,7581,5.219621600001119
27,1415573,14,False,8845,5.218517700006487
28,1816313,18,False,11070,5.339867800008506
29,1214503,12,False,12378,5.259243600012269
