corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,5916493,59,False,98,8.288831500001834
1,5116058,51,False,23,8.313677500002086
2,5216243,52,False,87,8.792047099996125
3,5516228,55,False,91,8.65891530000954
4,4116498,41,False,93,9.219287900006748
5,5817928,58,False,7,8.355298399997992
6,3615618,36,False,8,8.471087400001124
7,5616213,56,False,81,8.963784499996109
8,5116493,51,False,92,8.446379000000888
9,5817308,58,False,89,8.31321009999374
10,4815398,48,False,40,8.349548199999845
11,5617203,56,False,65,8.435138100001495
12,5416628,54,False,98,8.365889900000184
13,5917078,59,False,12,8.36320199999318
14,5717788,57,False,99,8.469064100005198
15,5118043,51,False,20,8.499160799998208
16,5817958,58,False,25,8.390230800010613
17,6016533,60,False,93,8.407276800004183
18,5815848,58,False,64,8.51043579999532
19,5617098,56,False,75,8.426372300004005
20,5415473,54,False,10,8.447247299991432
21,5615388,56,False,96,8.37491699999373
22,5616733,56,False,90,8.409670499997446
23,5316933,53,False,83,8.346865200001048
24,5316358,53,False,87,8.40154469999834
25,5416268,54,False,92,8.35069079999812
26,6317423,63,False,91,8.436335099991993
27,5215813,52,False,96,8.365813799988246
28,5416573,54,False,99,8.331153199993423
29,5615408,56,False,91,8.44560089999868
