corrida,costo,H,es_factible,iteracion_mejor,tiempo
0,4415903,44,False,148,19.993795099988347
1,4816328,48,False,30,20.233682299993234
2,4817458,48,False,186,20.016487499990035
3,3316828,33,False,150,19.87227600000915
4,5016873,50,False,113,20.64285689999815
5,5516118,55,False,173,25.082459800003562
6,3915803,39,False,8,20.011356000002706
7,4316283,43,False,82,19.421004300005734
8,4515813,45,False,158,19.849634000012884
9,5315238,53,False,107,20.139292899984866
10,4916568,49,False,20,19.794582100003026
11,5116938,51,False,35,19.99085540001397
12,3617238,36,False,94,19.678181800001767
13,5016558,50,False,109,20.08403410000028
14,4717733,47,False,56,19.50817580000148
15,4516843,45,False,42,19.310771800024668
16,4616548,46,False,154,20.352373800007626
17,4916173,49,False,66,19.612350299983518
18,4216518,42,False,188,21.065757300006226
19,4817538,48,False,40,19.72622440001578
20,4617033,46,False,36,19.35244980000425
21,5317773,53,False,55,19.322118599986425
22,4815488,48,False,37,19.397548599983566
23,4716288,47,False,158,19.565696199977538
24,3417063,34,False,26,19.622588300000643
25,4116178,41,False,125,19.455772999994224
26,5216368,52,False,116,19.983139699994354
27,4416593,44,False,93,19.917145199986408
28,4815628,48,False,151,19.65961200001766
29,4916473,49,False,41,20.13547720000497
