costo_promedio,mejor_costo,peor_costo,desviacion_estandar,coeficiente_variacion,porcentaje_factible,tiempo_promedio,iteracion_convergencia_promedio,nombre
4639905,3815618,5815783,560702.0096834891,0.12084342452776277,0.0,7.598330769998332,59.5,combo_01
4753223.666666667,3417063,5516178,551023.217876702,0.11592621271767811,0.0,7.979151506667646,64.53333333333333,combo_02
4689871,3015273,5715948,565834.4133264455,0.12065031497165818,0.0,7.8983629766618835,56.833333333333336,combo_03
4593202.333333333,3815618,5516398,511156.99111264566,0.11128553763093077,0.0,23.577774949999487,75.5,combo_04
4666539.666666667,3416833,5516178,533457.3113893113,0.11431539202373535,0.0,14.585377420001896,82.4,combo_05
4633213.166666667,3015273,5516613,550491.2057434099,0.11881413307375559,0.0,37.19640074999867,70.4,combo_06
4589823,3815618,5516398,515378.73675412324,0.11228727921624064,0.0,19.918052413332042,79.1,combo_07
4626539.5,3316828,5516118,538995.0130297573,0.11650068329250346,0.0,20.02659000666657,93.23333333333333,combo_08
4556574.666666667,3015273,5416743,556433.7006907183,0.12211666468702329,0.0,20.313922640001206,86.3,combo_09
4379835.666666667,3015263,5316963,584736.3597939309,0.13350646104011304,0.0,35.998193276667735,98.56666666666666,combo_10
